Date,WRYM,Pywr
1920-10-01,350.32999,0
1920-10-02,350.32999,
1920-10-03,350.32999,
1920-10-04,350.32999,
1920-10-05,350.32999,
1920-10-06,350.32999,
1920-10-07,350.32999,
1920-10-08,350.32999,
1920-10-09,350.32999,
1920-10-10,350.32999,
1920-10-11,350.32999,
1920-10-12,350.32999,
1920-10-13,350.32999,
1920-10-14,350.32999,
1920-10-15,350.32999,
1920-10-16,350.32999,
1920-10-17,350.32999,
1920-10-18,350.32999,
1920-10-19,350.32999,
1920-10-20,350.32999,
1920-10-21,350.32999,
1920-10-22,350.32999,
1920-10-23,350.32999,
1920-10-24,350.32999,
1920-10-25,350.32999,
1920-10-26,350.32999,
1920-10-27,350.32999,
1920-10-28,350.32999,
1920-10-29,350.32999,
1920-10-30,350.32999,
1920-10-31,350.32999,
1920-11-01,350.32999,
1920-11-02,350.32999,
1920-11-03,350.32999,
1920-11-04,350.32999,
1920-11-05,350.32999,
1920-11-06,350.32999,
1920-11-07,350.32999,
1920-11-08,350.32999,
1920-11-09,350.32999,
1920-11-10,350.32999,
1920-11-11,350.32999,
1920-11-12,350.32999,
1920-11-13,350.32999,
1920-11-14,350.32999,
1920-11-15,350.32999,
1920-11-16,350.32999,
1920-11-17,350.32999,
1920-11-18,350.32999,
1920-11-19,350.32999,
1920-11-20,350.32999,
1920-11-21,350.32999,
1920-11-22,350.32999,
1920-11-23,350.32999,
1920-11-24,350.32999,
1920-11-25,350.32999,
1920-11-26,350.32999,
1920-11-27,350.32999,
1920-11-28,350.32999,
1920-11-29,350.32999,
1920-11-30,350.32999,
1920-12-01,350.32999,
1920-12-02,350.32999,
1920-12-03,350.32999,
1920-12-04,350.32999,
1920-12-05,350.32999,
1920-12-06,350.32999,
1920-12-07,350.32999,
1920-12-08,350.32999,
1920-12-09,350.32999,
1920-12-10,350.32999,
1920-12-11,350.32999,
1920-12-12,350.32999,
1920-12-13,350.32999,
1920-12-14,350.32999,
1920-12-15,350.32999,
1920-12-16,350.32999,
1920-12-17,350.32999,
1920-12-18,350.32999,
1920-12-19,350.32999,
1920-12-20,350.32999,
